Timestamp_ms,AX,AY,AZ,GX,GY,GZ,PITCH,ROLL
1733510155215,-0.769,0.005,0.489,-0.307,0.467,-0.045,57.307,0.18
1733510155234,-0.769,0.005,0.489,-0.307,0.467,-0.045,57.319,0.18
1733510155235,-0.769,0.005,0.489,-0.307,0.467,-0.045,57.319,0.185
1733510155237,-0.767,0.005,0.489,-0.307,0.467,-0.045,57.319,0.185
1733510155237,-0.767,0.004,0.489,-0.307,0.467,-0.045,57.319,0.185
1733510155238,-0.767,0.004,0.488,-0.307,0.467,-0.045,57.319,0.185
1733510155240,-0.767,0.004,0.488,-0.031,0.467,-0.045,57.319,0.185
1733510155240,-0.767,0.004,0.488,-0.031,-0.109,-0.045,57.319,0.185
1733510155240,-0.767,0.004,0.488,-0.031,-0.109,0.047,57.319,0.185
1733510155259,-0.767,0.004,0.488,-0.031,-0.109,0.047,57.33,0.185
1733510155259,-0.767,0.004,0.488,-0.031,-0.109,0.047,57.33,0.199
1733510155263,-0.766,0.004,0.488,-0.031,-0.109,0.047,57.33,0.199
1733510155264,-0.766,0.004,0.488,-0.031,-0.109,0.047,57.33,0.199
1733510155264,-0.766,0.004,0.492,-0.031,-0.109,0.047,57.33,0.199
1733510155267,-0.766,0.004,0.492,0.182,-0.109,0.047,57.33,0.199
1733510155268,-0.766,0.004,0.492,0.182,-0.417,0.047,57.33,0.199
1733510155268,-0.766,0.004,0.492,0.182,-0.417,0.047,57.33,0.199
1733510155284,-0.766,0.004,0.492,0.182,-0.417,0.047,57.327,0.199
1733510155285,-0.766,0.004,0.492,0.182,-0.417,0.047,57.327,0.215
1733510155288,-0.765,0.004,0.492,0.182,-0.417,0.047,57.327,0.215
1733510155289,-0.765,0.004,0.492,0.182,-0.417,0.047,57.327,0.215
1733510155289,-0.765,0.004,0.493,0.182,-0.417,0.047,57.327,0.215
1733510155289,-0.765,0.004,0.493,-0.032,-0.417,0.047,57.327,0.215
1733510155290,-0.765,0.004,0.493,-0.032,0.025,0.047,57.327,0.215
1733510155290,-0.765,0.004,0.493,-0.032,0.025,-0.152,57.327,0.215
1733510155310,-0.765,0.004,0.493,-0.032,0.025,-0.152,57.327,0.215
1733510155311,-0.765,0.004,0.493,-0.032,0.025,-0.152,57.327,0.214
1733510155314,-0.768,0.004,0.493,-0.032,0.025,-0.152,57.327,0.214
1733510155315,-0.768,0.001,0.493,-0.032,0.025,-0.152,57.327,0.214
1733510155315,-0.768,0.001,0.492,-0.032,0.025,-0.152,57.327,0.214
1733510155316,-0.768,0.001,0.492,-0.184,0.025,-0.152,57.327,0.214
1733510155316,-0.768,0.001,0.492,-0.184,0.33,-0.152,57.327,0.214
1733510155316,-0.768,0.001,0.492,-0.184,0.33,-0.075,57.327,0.214
1733510155338,-0.768,0.001,0.492,-0.184,0.33,-0.075,57.345,0.214
1733510155338,-0.768,0.001,0.492,-0.184,0.33,-0.075,57.345,0.202
1733510155340,-0.767,0.001,0.492,-0.184,0.33,-0.075,57.345,0.202
1733510155341,-0.767,0.002,0.492,-0.184,0.33,-0.075,57.345,0.202
1733510155341,-0.767,0.002,0.489,-0.184,0.33,-0.075,57.345,0.202
1733510155341,-0.767,0.002,0.489,-0.032,0.33,-0.075,57.345,0.202
1733510155341,-0.767,0.002,0.489,-0.032,-0.036,-0.075,57.345,0.202
1733510155341,-0.767,0.002,0.489,-0.032,-0.036,0.062,57.345,0.202
1733510155362,-0.767,0.002,0.489,-0.032,-0.036,0.062,57.319,0.202
1733510155363,-0.767,0.002,0.489,-0.032,-0.036,0.062,57.319,0.211
1733510155366,-0.766,0.002,0.489,-0.032,-0.036,0.062,57.319,0.211
1733510155366,-0.766,0.004,0.489,-0.032,-0.036,0.062,57.319,0.211
1733510155367,-0.766,0.004,0.495,-0.032,-0.036,0.062,57.319,0.211
1733510155367,-0.766,0.004,0.495,0.197,-0.036,0.062,57.319,0.211
1733510155367,-0.766,0.004,0.495,0.197,-0.22,0.062,57.319,0.211
1733510155367,-0.766,0.004,0.495,0.197,-0.22,0.138,57.319,0.211
1733510155385,-0.766,0.004,0.495,0.197,-0.22,0.138,57.298,0.211
1733510155385,-0.766,0.004,0.495,0.197,-0.22,0.138,57.298,0.224
1733510155388,-0.77,0.004,0.495,0.197,-0.22,0.138,57.298,0.224
1733510155388,-0.77,0.003,0.495,0.197,-0.22,0.138,57.298,0.224
1733510155390,-0.77,0.003,0.497,0.197,-0.22,0.138,57.298,0.224
1733510155390,-0.77,0.003,0.497,-0.183,-0.22,0.138,57.298,0.224
1733510155390,-0.77,0.003,0.497,-0.183,0.36,0.138,57.298,0.224
1733510155390,-0.77,0.003,0.497,-0.183,0.36,-0.227,57.298,0.224
1733510155410,-0.77,0.003,0.497,-0.183,0.36,-0.227,57.316,0.224
1733510155410,-0.77,0.003,0.497,-0.183,0.36,-0.227,57.316,0.208
1733510155413,-0.768,0.003,0.497,-0.183,0.36,-0.227,57.316,0.208
1733510155413,-0.768,0.003,0.497,-0.183,0.36,-0.227,57.316,0.208
1733510155413,-0.768,0.003,0.492,-0.183,0.36,-0.227,57.316,0.208
1733510155428,-0.768,0.003,0.492,-0.018,0.36,-0.227,57.316,0.208
1733510155428,-0.768,0.003,0.492,-0.018,-0.047,-0.227,57.316,0.208
1733510155429,-0.768,0.003,0.492,-0.018,-0.047,-0.061,57.316,0.208
1733510155434,-0.768,0.003,0.492,-0.018,-0.047,-0.061,57.326,0.208
1733510155435,-0.768,0.003,0.492,-0.018,-0.047,-0.061,57.326,0.208
1733510155439,-0.768,0.003,0.492,-0.018,-0.047,-0.061,57.326,0.208
1733510155441,-0.768,0.003,0.492,-0.018,-0.047,-0.061,57.326,0.208
1733510155441,-0.768,0.003,0.493,-0.018,-0.047,-0.061,57.326,0.208
1733510155441,-0.768,0.003,0.493,0.197,-0.047,-0.061,57.326,0.208
1733510155441,-0.768,0.003,0.493,0.197,-0.342,-0.061,57.326,0.208
1733510155442,-0.768,0.003,0.493,0.197,-0.342,0.245,57.326,0.208
1733510155458,-0.768,0.003,0.493,0.197,-0.342,0.245,57.308,0.208
1733510155459,-0.768,0.003,0.493,0.197,-0.342,0.245,57.308,0.208
1733510155462,-0.768,0.003,0.493,0.197,-0.342,0.245,57.308,0.208
1733510155463,-0.768,0.004,0.493,0.197,-0.342,0.245,57.308,0.208
1733510155463,-0.768,0.004,0.493,0.197,-0.342,0.245,57.308,0.208
1733510155463,-0.768,0.004,0.493,-0.23,-0.342,0.245,57.308,0.208
1733510155463,-0.768,0.004,0.493,-0.23,0.177,0.245,57.308,0.208
1733510155464,-0.768,0.004,0.493,-0.23,0.177,0.062,57.308,0.208
