Time,Signal
0.0,0.0
0.01,0.125
0.02,0.249
0.03,0.368
0.04,0.482
0.05,0.588
0.06,0.685
0.07,0.771
0.08,0.844
0.09,0.905
0.1,0.951
0.11,0.982
0.12,0.998
0.13,0.998
0.14,0.982
0.15,0.951
0.16,0.905
0.17,0.844
0.18,0.771
0.19,0.685
0.2,0.588
0.21,0.482
0.22,0.368
0.23,0.249
0.24,0.125
0.25,0.0
0.26,-0.125
0.27,-0.249
0.28,-0.368
0.29,-0.482
0.3,-0.588
0.31,-0.685
0.32,-0.771
0.33,-0.844
0.34,-0.905
0.35,-0.951
0.36,-0.982
0.37,-0.998
0.38,-0.998
0.39,-0.982
0.4,-0.951
0.41,-0.905
0.42,-0.844
0.43,-0.771
0.44,-0.685
0.45,-0.588
0.46,-0.482
0.47,-0.368
0.48,-0.249
0.49,-0.125
0.5,-0.0
0.51,0.125
0.52,0.249
0.53,0.368
0.54,0.482
0.55,0.588
0.56,0.685
0.57,0.771
0.58,0.844
0.59,0.905
0.6,0.951
0.61,0.982
0.62,0.998
0.63,0.998
0.64,0.982
0.65,0.951
0.66,0.905
0.67,0.844
0.68,0.771
0.69,0.685
0.7,0.588
0.71,0.482
0.72,0.368
0.73,0.249
0.74,0.125
0.75,0.0
0.76,-0.125
0.77,-0.249
0.78,-0.368
0.79,-0.482
0.8,-0.588
0.81,-0.685
0.82,-0.771
0.83,-0.844
0.84,-0.905
0.85,-0.951
0.86,-0.982
0.87,-0.998
0.88,-0.998
0.89,-0.982
0.9,-0.951
0.91,-0.905
0.92,-0.844
0.93,-0.771
0.94,-0.685
0.95,-0.588
0.96,-0.482
0.97,-0.368
0.98,-0.249
0.99,-0.125
1.0,-0.0
1.01,0.125
1.02,0.249
1.03,0.368
1.04,0.482
1.05,0.588
1.06,0.685
1.07,0.771
1.08,0.844
1.09,0.905
1.1,0.951
1.11,0.982
1.12,0.998
1.13,0.998
1.14,0.982
1.15,0.951
1.16,0.905
1.17,0.844
1.18,0.771
1.19,0.685
1.2,0.588
1.21,0.482
1.22,0.368
1.23,0.249
1.24,0.125
1.25,0.0
1.26,-0.125
1.27,-0.249
1.28,-0.368
1.29,-0.482
1.3,-0.588
1.31,-0.685
1.32,-0.771
1.33,-0.844
1.34,-0.905
1.35,-0.951
1.36,-0.982
1.37,-0.998
1.38,-0.998
1.39,-0.982
1.4,-0.951
1.41,-0.905
1.42,-0.844
1.43,-0.771
1.44,-0.685
1.45,-0.588
1.46,-0.482
1.47,-0.368
1.48,-0.249
1.49,-0.125
1.5,-0.0
1.51,0.125
1.52,0.249
1.53,0.368
1.54,0.482
1.55,0.588
1.56,0.685
1.57,0.771
1.58,0.844
1.59,0.905
1.6,0.951
1.61,0.982
1.62,0.998
1.63,0.998
1.64,0.982
1.65,0.951
1.66,0.905
1.67,0.844
1.68,0.771
1.69,0.685
1.7,0.588
1.71,0.482
1.72,0.368
1.73,0.249
1.74,0.125
1.75,0.0
1.76,-0.125
1.77,-0.249
1.78,-0.368
1.79,-0.482
1.8,-0.588
1.81,-0.685
1.82,-0.771
1.83,-0.844
1.84,-0.905
1.85,-0.951
1.86,-0.982
1.87,-0.998
1.88,-0.998
1.89,-0.982
1.9,-0.951
1.91,-0.905
1.92,-0.844
1.93,-0.771
1.94,-0.685
1.95,-0.588
1.96,-0.482
1.97,-0.368
1.98,-0.249
1.99,-0.125
2.0,-0.0
2.01,0.125
2.02,0.249
2.03,0.368
2.04,0.482
2.05,0.588
2.06,0.685
2.07,0.771
2.08,0.844
2.09,0.905
2.1,0.951
2.11,0.982
2.12,0.998
2.13,0.998
2.14,0.982
2.15,0.951
2.16,0.905
2.17,0.844
2.18,0.771
2.19,0.685
2.2,0.588
2.21,0.482
2.22,0.368
2.23,0.249
2.24,0.125
2.25,0.0
2.26,-0.125
2.27,-0.249
2.28,-0.368
2.29,-0.482
2.3,-0.588
2.31,-0.685
2.32,-0.771
2.33,-0.844
2.34,-0.905
2.35,-0.951
2.36,-0.982
2.37,-0.998
2.38,-0.998
2.39,-0.982
2.4,-0.951
2.41,-0.905
2.42,-0.844
2.43,-0.771
2.44,-0.685
2.45,-0.588
2.46,-0.482
2.47,-0.368
2.48,-0.249
2.49,-0.125
2.5,-0.0
2.51,0.125
2.52,0.249
2.53,0.368
2.54,0.482
2.55,0.588
2.56,0.685
2.57,0.771
2.58,0.844
2.59,0.905
2.6,0.951
2.61,0.982
2.62,0.998
2.63,0.998
2.64,0.982
2.65,0.951
2.66,0.905
2.67,0.844
2.68,0.771
2.69,0.685
2.7,0.588
2.71,0.482
2.72,0.368
2.73,0.249
2.74,0.125
2.75,0.0
2.76,-0.125
2.77,-0.249
2.78,-0.368
2.79,-0.482
2.8,-0.588
2.81,-0.685
2.82,-0.771
2.83,-0.844
2.84,-0.905
2.85,-0.951
2.86,-0.982
2.87,-0.998
2.88,-0.998
2.89,-0.982
2.9,-0.951
2.91,-0.905
2.92,-0.844
2.93,-0.771
2.94,-0.685
2.95,-0.588
2.96,-0.482
2.97,-0.368
2.98,-0.249
2.99,-0.125
3.0,-0.0
3.01,0.125
3.02,0.249
3.03,0.368
3.04,0.482
3.05,0.588
3.06,0.685
3.07,0.771
3.08,0.844
3.09,0.905
3.1,0.951
3.11,0.982
3.12,0.998
3.13,0.998
3.14,0.982
3.15,0.951
3.16,0.905
3.17,0.844
3.18,0.771
3.19,0.685
3.2,0.588
3.21,0.482
3.22,0.368
3.23,0.249
3.24,0.125
3.25,-0.0
3.26,-0.125
3.27,-0.249
3.28,-0.368
3.29,-0.482
3.3,-0.588
3.31,-0.685
3.32,-0.771
3.33,-0.844
3.34,-0.905
3.35,-0.951
3.36,-0.982
3.37,-0.998
3.38,-0.998
3.39,-0.982
3.4,-0.951
3.41,-0.905
3.42,-0.844
3.43,-0.771
3.44,-0.685
3.45,-0.588
3.46,-0.482
3.47,-0.368
3.48,-0.249
3.49,-0.125
3.5,-0.0
3.51,0.125
3.52,0.249
3.53,0.368
3.54,0.482
3.55,0.588
3.56,0.685
3.57,0.771
3.58,0.844
3.59,0.905
3.6,0.951
3.61,0.982
3.62,0.998
3.63,0.998
3.64,0.982
3.65,0.951
3.66,0.905
3.67,0.844
3.68,0.771
3.69,0.685
3.7,0.588
3.71,0.482
3.72,0.368
3.73,0.249
3.74,0.125
3.75,0.0
3.76,-0.125
3.77,-0.249
3.78,-0.368
3.79,-0.482
3.8,-0.588
3.81,-0.685
3.82,-0.771
3.83,-0.844
3.84,-0.905
3.85,-0.951
3.86,-0.982
3.87,-0.998
3.88,-0.998
3.89,-0.982
3.9,-0.951
3.91,-0.905
3.92,-0.844
3.93,-0.771
